2020-06-15 22:42:20,036 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=1fec0d3634689fe3bf8c6e6dc42752ca73d98f6e8b7a8a1708e4f1c8&doctype=Role&docname=Non%20Profit%20Member', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:25,243 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:27,645 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:27,748 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoctype', 'full_path': '/api/method/frappe.desk.form.load.getdoctype?doctype=Role+Profile&with_parent=1&cached_timestamp=&_=1592256316884', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:27,843 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.listview.get_list_settings', 'full_path': '/api/method/frappe.desk.listview.get_list_settings?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,047 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.doctype.kanban_board.kanban_board.get_kanban_boards', 'full_path': '/api/method/frappe.desk.doctype.kanban_board.kanban_board.get_kanban_boards?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,050 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.db_query.get_list', 'full_path': '/api/method/frappe.model.db_query.get_list?filters=%7B%22reference_doctype%22%3A%22Role+Profile%22%7D&doctype=Calendar+View&fields=%5B%22name%22%5D&limit=20&_=1592256316886', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,052 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,089 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.db_query.get_list', 'full_path': '/api/method/frappe.model.db_query.get_list?fields=%5B%22name%22%2C%22filter_name%22%2C%22for_user%22%2C%22filters%22%5D&filters=%7B%22reference_doctype%22%3A%22Role+Profile%22%7D&or_filters=%5B%5B%22for_user%22%2C%22%3D%22%2C%22Administrator%22%5D%2C%5B%22for_user%22%2C%22%3D%22%2C%22%22%5D%5D&doctype=List+Filter&limit=20&_=1592256316885', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,540 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
