2020-06-12 08:48:40,617 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:30,972 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:31,089 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:31,254 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:31,257 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:31,260 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:33,295 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:38,432 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:42,017 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:50:44,779 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
